date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:16:22	999/999	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Aug%202018%2020:16:22%20GMT	https://p.w3layouts.com/robots.txt		(from )
02:16:23	47902/47902	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Aug%202018%2020:16:22%20GMT	https://p.w3layouts.com/demos/aug-2016/02-08-2016/new_shop/web/	C:/Users/mashu/Downloads/e-commerce/e-commerce/p.w3layouts.com/demos/aug-2016/02-08-2016/new_shop/web/index.html	(from )
02:16:24	121261/121261	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:58:15%20GMT	https://p.w3layouts.com/demos/aug-2016/02-08-2016/new_shop/web/css/bootstrap.css	C:/Users/mashu/Downloads/e-commerce/e-commerce/p.w3layouts.com/demos/aug-2016/02-08-2016/new_shop/web/css/bootstrap.css	(from https://p.w3layouts.com/demos/aug-2016/02-08-2016/new_shop/web/)
02:16:25	61469/61469	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:58:15%20GMT	https://p.w3layouts.com/demos/aug-2016/02-08-2016/new_shop/web/css/style.css	C:/Users/mashu/Downloads/e-commerce/e-commerce/p.w3layouts.com/demos/aug-2016/02-08-2016/new_shop/web/css/style.css	(from https://p.w3layouts.com/demos/aug-2016/02-08-2016/new_shop/web/)
02:16:25	33233/33233	---MCZ	200	added ('OK')	text/css	date:Tue,%2019%20Sep%202017%2018:58:15%20GMT	https://p.w3layouts.com/demos/aug-2016/02-08-2016/new_shop/web/css/font-awesome.css	C:/Users/mashu/Downloads/e-commerce/e-commerce/p.w3layouts.com/demos/aug-2016/02-08-2016/new_shop/web/css/font-awesome.css	(from https://p.w3layouts.com/demos/aug-2016/02-08-2016/new_shop/web/)
02:16:26	94840/94840	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2018:58:15%20GMT	https://p.w3layouts.com/demos/aug-2016/02-08-2016/new_shop/web/js/jquery.min.js	C:/Users/mashu/Downloads/e-commerce/e-commerce/p.w3layouts.com/demos/aug-2016/02-08-2016/new_shop/web/js/jquery.min.js	(from https://p.w3layouts.com/demos/aug-2016/02-08-2016/new_shop/web/)
02:16:26	3260/3260	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2018:58:15%20GMT	https://p.w3layouts.com/demos/aug-2016/02-08-2016/new_shop/web/js/main.js	C:/Users/mashu/Downloads/e-commerce/e-commerce/p.w3layouts.com/demos/aug-2016/02-08-2016/new_shop/web/js/main.js	(from https://p.w3layouts.com/demos/aug-2016/02-08-2016/new_shop/web/)
02:16:27	3397/3397	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2018:58:15%20GMT	https://p.w3layouts.com/demos/aug-2016/02-08-2016/new_shop/web/js/responsiveslides.min.js	C:/Users/mashu/Downloads/e-commerce/e-commerce/p.w3layouts.com/demos/aug-2016/02-08-2016/new_shop/web/js/responsiveslides.min.js	(from https://p.w3layouts.com/demos/aug-2016/02-08-2016/new_shop/web/)
02:16:27	29110/29110	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2018:58:15%20GMT	https://p.w3layouts.com/demos/aug-2016/02-08-2016/new_shop/web/js/bootstrap-3.1.1.min.js	C:/Users/mashu/Downloads/e-commerce/e-commerce/p.w3layouts.com/demos/aug-2016/02-08-2016/new_shop/web/js/bootstrap-3.1.1.min.js	(from https://p.w3layouts.com/demos/aug-2016/02-08-2016/new_shop/web/)
02:16:28	25764/25764	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2019%20Sep%202017%2018:58:15%20GMT	https://p.w3layouts.com/demos/aug-2016/02-08-2016/new_shop/web/js/simpleCart.min.js	C:/Users/mashu/Downloads/e-commerce/e-commerce/p.w3layouts.com/demos/aug-2016/02-08-2016/new_shop/web/js/simpleCart.min.js	(from https://p.w3layouts.com/demos/aug-2016/02-08-2016/new_shop/web/)
